num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,constant,stage,stageV2new
73,15,12,1,2.445158005,0.671294272,0.552366912,-0.082785368,65.27287292,17.80210114,0.04228783,0.283810556,69.34284973,4.677465916,4,4,4
74,16,13,1,2.391892672,0.661956966,0.547794104,-0.085426085,61.7791481,18.92149544,0.042048655,0.295273781,69.28420258,4.661402225,4,4,4
75,18,14,1,2.176348448,0.631483555,0.518050551,-0.084894791,54.48229218,17.35158539,0.042042792,0.296113133,69.28765869,4.661128521,4,4,4
76,19,0,1,2.176348448,0.631483555,0.518050551,-0.084894791,54.48229218,17.35158539,0.042042792,0.296113133,69.28765869,4.661128521,4,4,4
77,20,15,1,2.176348448,0.631483555,0.518050551,-0.084894791,54.48229218,17.35158539,0.042042792,0.296113133,69.28765869,4.661128521,4,4,4
78,21,16,1,2.117519855,0.612191439,0.495184273,-0.081454292,50.73805618,16.54858398,0.042033385,0.296866,69.28900146,4.660298824,4,4,4
79,22,17,1,2.368013859,0.688655794,0.565695345,-0.076927423,69.2468338,17.3715229,0.042024195,0.297747672,69.29129791,4.659603119,4,4,4
80,23,0,1,2.182919979,0.656697989,0.533238471,-0.072705209,59.69997025,16.17700386,0.042028785,0.297720104,69.29295349,4.660253525,4,4,4
81,24,0,1,2.595720053,0.681641638,0.564842999,-0.07813935,70.70490265,18.81521988,0.042008791,0.300829977,69.30548096,4.659756184,4,4,4
82,36,25,1,1.752675533,0.560575962,0.42361787,-0.099996269,33.32937622,13.26819992,0.041685902,0.321219623,69.32948303,4.626583099,3,4,3
83,49,31,1,2.356272936,0.689233124,0.565920711,-0.082487583,71.55456543,17.95206833,0.041412294,0.350948483,69.39569855,4.617879868,3,4,3
84,50,0,1,2.68001771,0.727948308,0.612394094,-0.082057051,85.42847443,18.89566612,0.041553747,0.334590465,69.36066437,4.620315552,3,4,3
85,51,0,1,2.602866173,0.719979942,0.606874645,-0.081934556,82.32894135,18.17523956,0.04163029,0.326531231,69.34204865,4.623345852,3,4,3
86,74,0,1,2.321685791,0.680119574,0.565785527,-0.090119965,66.70391083,17.69599152,0.040909078,0.385367632,69.47967529,4.564863205,3,4,3
87,75,39,1,2.142801762,0.652513266,0.540715337,-0.056197133,57.54298019,16.63435745,0.040912379,0.386713535,69.48069763,4.568189621,3,4,3
88,98,666,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,,
89,98,666,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,,
90,98,666,1,1.845718861,0.602680862,0.486879319,-0.096667275,43.83764648,14.65863609,0.042284094,0.282818049,69.3289032,4.678398609,4,,
91,98,666,1,2.03115201,0.609464407,0.49442637,-0.08304058,50.60993195,15.12864208,0.042285968,0.283092499,69.33358002,4.678113461,4,,
92,98,666,1,2.171004057,0.639434397,0.524142802,-0.085791707,55.45739365,16.4552784,0.042285871,0.283527642,69.33808136,4.677756786,4,,
93,98,666,1,2.368013859,0.688655794,0.565695345,-0.076927423,69.2468338,17.3715229,0.042024195,0.297747672,69.29129791,4.659603119,4,,
94,98,666,1,2.182919979,0.656697989,0.533238471,-0.072705209,59.69997025,16.17700386,0.042028785,0.297720104,69.29295349,4.660253525,4,,
95,98,666,1,1.736078501,0.540859282,0.441732526,-0.086091951,37.01419067,13.36047173,0.042039778,0.29684329,69.29148102,4.661201954,3,,
96,98,666,1,1.752675533,0.560575962,0.42361787,-0.099996269,33.32937622,13.26819992,0.041685902,0.321219623,69.32948303,4.626583099,3,,
97,98,666,1,1.752675533,0.560575962,0.42361787,-0.099996269,33.32937622,13.26819992,0.041685902,0.321219623,69.32948303,4.626583099,3,,
