num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,stagenew
65,22,17,1,1.664223909,0.476102561,0.342938006,-0.065900356,28.96789742,14.41000044,0.042029395,0.297425831,69.29120487,4.660125789,4
66,23,0,1,1.662806034,0.478225321,0.345137298,-0.06219003,29.87695313,14.56999987,0.042031281,0.297473109,69.29229072,4.660434119,4
67,24,0,1,1.771746516,0.502827048,0.358813196,-0.049222801,35.16313553,15.97800016,0.042009552,0.300694527,69.30490929,4.659757937,4
68,25,18,1,1.694931626,0.495195121,0.347693831,-0.075968407,29.31002045,15.62199861,0.042007874,0.300658277,69.30400398,4.659487832,3
69,26,19,1,1.676069856,0.465660691,0.322541088,-0.039688434,31.63432312,14.9180007,0.041984694,0.302732567,69.30817622,4.657824863,3
70,27,20,1,1.625280023,0.455929488,0.321678311,-0.046863195,29.94403267,14.00400043,0.041953269,0.305418689,69.31299674,4.655518128,3
71,28,21,1,1.619196057,0.441987872,0.306925893,-0.025660086,30.35694504,13.89399946,0.041818096,0.317179499,69.33447685,4.646334919,3
72,36,25,1,1.542415619,0.435318679,0.307357043,-0.07098037,22.41376686,12.9219991,0.041689936,0.320774625,69.32834811,4.626732948,4
73,37,26,1,1.708111644,0.485223621,0.35420841,-0.063632973,31.04111862,15.09999901,0.041666721,0.322955384,69.33356103,4.625302068,3
74,42,27,1,1.706156492,0.491822928,0.357052773,-0.06768319,30.45682335,15.24800092,0.041674164,0.323165896,69.33493914,4.627141211,3
75,46,29,1,1.714948654,0.4905698,0.357053369,-0.07163959,30.42400551,15.37400097,0.041568611,0.33395483,69.35974765,4.622396502,3
76,49,31,1,1.567177892,0.442277074,0.320232898,-0.05108415,27.67951584,13.67200017,0.041420608,0.350262416,69.39435892,4.618484622,4
77,50,0,1,1.7897259,0.501960754,0.364841163,-0.049468637,35.96457291,15.86399853,0.041557155,0.334644765,69.36099479,4.621122214,4
78,51,0,1,1.722527504,0.483182937,0.358452111,-0.055472255,32.59365082,14.69600052,0.041634088,0.326443562,69.34206536,4.623992056,4
79,56,0,1,1.500301361,0.420751601,0.298540652,-0.077333339,20.42524719,12.68799931,0.041377515,0.373387985,69.44348782,4.651416913,3
80,58,0,1,1.350196719,0.335010469,0.23969318,-0.040603243,18.41424751,9.7239995,0.041365959,0.372074673,69.43961694,4.646382866,3
81,59,33,1,1.523751974,0.422929704,0.300951928,-0.047654808,25.49371529,12.88600057,0.041364384,0.372259673,69.43990515,4.646387772,3
82,62,34,1,1.700782299,0.479166687,0.349054307,-0.052075759,32.45509338,15.14800131,0.041210135,0.375348509,69.44241278,4.617320962,3
83,63,35,1,1.579732776,0.454181701,0.341062784,-0.050792512,29.16495514,13.9560011,0.041144323,0.383594118,69.45722048,4.61785373,3
84,74,0,1,1.639986992,0.456477344,0.336989045,-0.051081255,29.29098129,13.90800089,0.040908495,0.386124802,69.48055578,4.566140948,4
85,75,39,1,1.477306485,0.390150756,0.275376141,-0.032584265,23.73566246,11.66600019,0.040910783,0.386369938,69.48053114,4.567155893,4
86,96,0,1,1.701497436,0.483707309,0.343261331,-0.052106433,31.47467422,15.28199941,0.041995389,0.300876623,69.30059868,4.657824057,3
87,97,0,1,1.71280849,0.485908449,0.352630258,-0.064011879,31.22239876,15.11399925,0.04198941,0.301584455,69.30281763,4.657529695,3
88,98,666,1,1.428121924,0.399955094,0.291434646,-0.06735117,21.52993774,11.03399932,0.042290672,0.282616266,69.33288241,4.678379637,4
